"Dates","Price"
"1793-03-01",19.39
"1793-06-01",19.39
"1793-09-01",19.39
"1793-12-01",19.39
"1794-03-01",19.39
"1794-06-01",19.39
"1794-09-01",19.39
"1794-12-01",19.39
"1795-03-01",19.39
"1795-06-01",19.39
"1795-09-01",19.39
"1795-12-01",19.39
"1796-03-01",19.39
"1796-06-01",19.39
"1796-09-01",19.39
"1796-12-01",19.39
"1797-03-01",19.39
"1797-06-01",19.39
"1797-09-01",19.39
"1797-12-01",19.39
"1798-03-01",19.39
"1798-06-01",19.39
"1798-09-01",19.39
"1798-12-01",19.39
"1799-03-01",19.39
"1799-06-01",19.39
"1799-09-01",19.39
"1799-12-01",19.39
"1800-03-01",19.39
"1800-06-01",19.39
"1800-09-01",19.39
"1800-12-01",19.39
"1801-03-01",19.39
"1801-06-01",19.39
"1801-09-01",19.39
"1801-12-01",19.39
"1802-03-01",19.39
"1802-06-01",19.39
"1802-09-01",19.39
"1802-12-01",19.39
"1803-03-01",19.39
"1803-06-01",19.39
"1803-09-01",19.39
"1803-12-01",19.39
"1804-03-01",19.39
"1804-06-01",19.39
"1804-09-01",19.39
"1804-12-01",19.39
"1805-03-01",19.39
"1805-06-01",19.39
"1805-09-01",19.39
"1805-12-01",19.39
"1806-03-01",19.39
"1806-06-01",19.39
"1806-09-01",19.39
"1806-12-01",19.39
"1807-03-01",19.39
"1807-06-01",19.39
"1807-09-01",19.39
"1807-12-01",19.39
"1808-03-01",19.39
"1808-06-01",19.39
"1808-09-01",19.39
"1808-12-01",19.39
"1809-03-01",19.39
"1809-06-01",19.39
"1809-09-01",19.39
"1809-12-01",19.39
"1810-03-01",19.39
"1810-06-01",19.39
"1810-09-01",19.39
"1810-12-01",19.39
"1811-03-01",19.39
"1811-06-01",19.39
"1811-09-01",19.39
"1811-12-01",19.39
"1812-03-01",19.39
"1812-06-01",19.39
"1812-09-01",19.39
"1812-12-01",19.39
"1813-03-01",19.39
"1813-06-01",19.39
"1813-09-01",19.39
"1813-12-01",19.39
"1814-03-01",19.39
"1814-06-01",19.39
"1814-09-01",21.79
"1814-12-01",21.79
"1815-03-01",21.79
"1815-06-01",19.78
"1815-09-01",23.07
"1815-12-01",22.16
"1816-03-01",22.16
"1816-06-01",22.16
"1816-09-01",19.74
"1816-12-01",19.84
"1817-03-01",19.84
"1817-06-01",19.89
"1817-09-01",19.39
"1817-12-01",19.39
"1818-03-01",19.39
"1818-06-01",19.39
"1818-09-01",19.39
"1818-12-01",19.39
"1819-03-01",19.39
"1819-06-01",19.39
"1819-09-01",19.39
"1819-12-01",19.39
"1820-03-01",19.39
"1820-06-01",19.39
"1820-09-01",19.39
"1820-12-01",19.39
"1821-03-01",19.39
"1821-06-01",19.39
"1821-09-01",19.39
"1821-12-01",19.39
"1822-03-01",19.39
"1822-06-01",19.39
"1822-09-01",19.39
"1822-12-01",19.39
"1823-03-01",19.39
"1823-06-01",19.39
"1823-09-01",19.39
"1823-12-01",19.39
"1824-03-01",19.39
"1824-06-01",19.39
"1824-09-01",19.39
"1824-12-01",19.39
"1825-03-01",19.39
"1825-06-01",19.39
"1825-09-01",19.39
"1825-12-01",19.39
"1826-03-01",19.39
"1826-06-01",19.39
"1826-09-01",19.39
"1826-12-01",19.39
"1827-03-01",19.39
"1827-06-01",19.39
"1827-09-01",19.39
"1827-12-01",19.39
"1828-03-01",19.39
"1828-06-01",19.39
"1828-09-01",19.39
"1828-12-01",19.39
"1829-03-01",19.39
"1829-06-01",19.39
"1829-09-01",19.39
"1829-12-01",19.39
"1830-03-01",19.39
"1830-06-01",19.39
"1830-09-01",19.39
"1830-12-01",19.39
"1831-03-01",19.39
"1831-06-01",19.39
"1831-09-01",19.39
"1831-12-01",19.39
"1832-03-01",19.39
"1832-06-01",19.39
"1832-09-01",19.39
"1832-12-01",19.39
"1833-03-01",19.39
"1833-06-01",19.39
"1833-09-01",19.39
"1833-12-01",19.39
"1834-03-01",19.39
"1834-06-01",19.39
"1834-09-01",20.69
"1834-12-01",20.69
"1835-03-01",20.69
"1835-06-01",20.69
"1835-09-01",20.69
"1835-12-01",20.69
"1836-03-01",20.69
"1836-06-01",20.69
"1836-09-01",20.69
"1836-12-01",20.69
"1837-03-01",20.69
"1837-06-01",20.67
"1837-09-01",22.7
"1837-12-01",21.6
"1838-03-01",21.52
"1838-06-01",21.52
"1838-09-01",20.69
"1838-12-01",20.73
"1839-03-01",20.73
"1839-06-01",20.73
"1839-09-01",20.73
"1839-12-01",20.73
"1840-03-01",20.73
"1840-06-01",20.73
"1840-09-01",20.73
"1840-12-01",20.73
"1841-03-01",20.73
"1841-06-01",20.73
"1841-09-01",20.67
"1841-12-01",20.67
"1842-03-01",20.67
"1842-06-01",20.67
"1842-09-01",20.73
"1842-12-01",20.69
"1843-03-01",20.69
"1843-06-01",20.71
"1843-09-01",20.67
"1843-12-01",20.67
"1844-03-01",20.67
"1844-06-01",20.67
"1844-09-01",20.67
"1844-12-01",20.67
"1845-03-01",20.67
"1845-06-01",20.67
"1845-09-01",20.67
"1845-12-01",20.67
"1846-03-01",20.67
"1846-06-01",20.67
"1846-09-01",20.67
"1846-12-01",20.67
"1847-03-01",20.67
"1847-06-01",20.67
"1847-09-01",20.67
"1847-12-01",20.67
"1848-03-01",20.67
"1848-06-01",20.67
"1848-09-01",20.67
"1848-12-01",20.67
"1849-03-01",20.67
"1849-06-01",20.67
"1849-09-01",20.67
"1849-12-01",20.67
"1850-03-01",20.67
"1850-06-01",20.67
"1850-09-01",20.67
"1850-12-01",20.67
"1851-03-01",20.67
"1851-06-01",20.67
"1851-09-01",20.67
"1851-12-01",20.67
"1852-03-01",20.67
"1852-06-01",20.67
"1852-09-01",20.67
"1852-12-01",20.67
"1853-03-01",20.67
"1853-06-01",20.67
"1853-09-01",20.67
"1853-12-01",20.67
"1854-03-01",20.67
"1854-06-01",20.67
"1854-09-01",20.67
"1854-12-01",20.67
"1855-03-01",20.67
"1855-06-01",20.67
"1855-09-01",20.67
"1855-12-01",20.67
"1856-03-01",20.67
"1856-06-01",20.67
"1856-09-01",20.67
"1856-12-01",20.67
"1857-03-01",20.67
"1857-06-01",20.67
"1857-09-01",20.81
"1857-12-01",20.71
"1858-03-01",20.67
"1858-06-01",20.67
"1858-09-01",20.67
"1858-12-01",20.67
"1859-03-01",20.67
"1859-06-01",20.67
"1859-09-01",20.67
"1859-12-01",20.67
"1860-03-01",20.67
"1860-06-01",20.67
"1860-09-01",20.67
"1860-12-01",20.67
"1861-03-01",20.67
"1861-06-01",20.67
"1861-09-01",20.67
"1861-12-01",20.67
"1862-03-01",20.77
"1862-06-01",20.77
"1862-09-01",27.54
"1862-12-01",27.54
"1863-03-01",27.54
"1863-06-01",25.24
"1863-09-01",35.45
"1863-12-01",31.39
"1864-03-01",31.39
"1864-06-01",31.31
"1864-09-01",57.05
"1864-12-01",46.36
